,price.open,price.high,price.low,price.close,volume,price.adjusted,sale price,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pct change,direction
16,84.760002,85.669998,83.459999,84.410004,3637600,81.612175,170.08000,11/2/18,TGT,0.002137009,0.002137018,0.742359734,D
17,84.559998,85.519997,84.110001,85.349998,3670700,82.521004,170.87000,11/5/18,TGT,0.011135949,0.01113605,0.367852123,D
18,85.440002,85.669998,84.93,85.589996,3837700,82.753067,171.25999,11/6/18,TGT,0.002812169,0.002811927,-0.027753493,E
19,87.510002,87.660004,85.760002,86.760002,6778300,83.884285,174.42001,11/7/18,TGT,0.013669802,0.013669892,-0.566007558,D
20,87,87.860001,86.790001,87.599998,4477900,84.696434,175.46000,11/8/18,TGT,0.009681778,0.009681835,-1.045712118,D
21,87.440002,87.93,86.669998,86.940002,3490000,84.058319,174.87000,11/9/18,TGT,-0.007534142,-0.007534201,-1.469259657,D
22,87.169998,87.290001,85.239998,85.470001,4720800,82.637039,172.76000,11/12/18,TGT,-0.016908261,-0.016908224,-1.400716325,D
23,85.620003,85.980003,83.940002,84.32,4328400,81.525146,170.30000,11/13/18,TGT,-0.013455141,-0.013455025,-1.609642822,D
24,84.519997,85.599998,82.610001,83.129997,5625500,80.374588,168.73000,11/14/18,TGT,-0.014112922,-0.014112939,-3.611772339,D
25,82.849998,82.849998,80.07,80.760002,7119000,78.083168,163.61000,11/15/18,TGT,-0.02850926,-0.028509504,-3.054286592,D
26,79.449997,80.160004,78.209999,79.68,8260900,77.038956,159.84000,11/16/18,TGT,-0.013373074,-0.013372981,-3.395665776,D
27,79.93,80.400002,77.559998,77.790001,9144000,75.211601,158.19000,11/19/18,TGT,-0.023719883,-0.023719867,-2.42145883,D
28,67.989998,71.5,66.120003,69.029999,20866400,67.295616,140.53000,11/20/18,TGT,-0.105249521,-0.1126109,0.678660591,D
29,70,70.25,68.080002,69.260002,11724700,67.519844,139.51000,11/21/18,TGT,0.003331985,0.003331928,0.750456876,D
30,69.190002,69.370003,67.209999,67.349998,5652600,65.657822,136.72000,11/23/18,TGT,-0.027577404,-0.027577302,1.088226109,D
31,68.07,69.339996,68.07,69.25,10028800,67.510086,138.59000,11/26/18,TGT,0.028210866,0.028210869,0.482178841,D
32,69.089996,71.989998,68.68,71.379997,13392500,69.586571,143.37000,11/27/18,TGT,0.030758145,0.030758079,0.268358548,D
33,71.389999,71.889999,69.82,71.879997,8457200,70.074005,143.77000,11/28/18,TGT,0.007004714,0.007004764,-0.722599979,D
34,71.449997,71.540001,69.760002,71.169998,6718400,69.381836,142.71000,11/29/18,TGT,-0.009877686,-0.00987756,-0.461337325,E
35,70.940002,71.669998,70.339996,70.959999,7100400,69.177116,142.63000,11/30/18,TGT,-0.002950628,-0.002950667,-0.900103175,D
36,72.43,72.639999,70.809998,72.339996,7747600,70.522446,144.98000,12/3/18,TGT,0.019447616,0.019447534,-1.157432938,D
37,72.059998,72.480003,68.5,69.309998,9762000,67.568581,141.79000,12/4/18,TGT,-0.041885459,-0.041885515,-0.740285297,D
38,68.699997,69.599998,67.349998,69.540001,6304400,67.792793,139.14000,12/6/18,TGT,0.003318288,0.003318468,-0.514342818,D
39,69.169998,69.870003,67.330002,67.809998,5471500,66.10627,137.68000,12/7/18,TGT,-0.024877615,-0.024877811,-0.334933312,E
40,67.760002,68.529999,66.57,68.32,5750900,66.603447,136.85000,12/10/18,TGT,0.007520875,0.007521044,-0.341510366,E
41,68.739998,68.809998,66.07,66.779999,5756500,65.10215,135.59000,12/11/18,TGT,-0.02254083,-0.022540998,-0.739315686,D
42,67.849998,68.32,67.25,67.790001,5451300,66.086777,136.11000,12/12/18,TGT,0.015124339,0.015124319,-0.748634957,D
43,67.419998,68.669998,65.959999,66.68,5866800,65.004662,135.35000,12/13/18,TGT,-0.016374153,-0.016374111,-1.179859037,D
44,66.199997,67.919998,66.019997,67.169998,6471700,65.482346,135.09000,12/14/18,TGT,0.007348458,0.0073485,-1.702298888,D
45,66.699997,66.709999,63.759998,64.32,8576400,62.703957,131.03000,12/17/18,TGT,-0.042429589,-0.042429628,-1.011766621,D
46,64.720001,65.779999,64.57,65.309998,7074300,63.669079,131.09000,12/18/18,TGT,0.015391724,0.01539176,-1.203122676,D
47,65.839996,65.949997,62.470001,62.830002,6705300,61.251392,128.78000,12/19/18,TGT,-0.037972703,-0.037972685,0.730020162,D
48,62.650002,63.330002,60.740002,61.700001,8216200,60.14978,125.03000,12/20/18,TGT,-0.017985093,-0.017985054,0.957987903,D
49,61.77,63.509998,60.810001,61.130001,8825100,59.594101,124.64000,12/21/18,TGT,-0.009238255,-0.009238249,1.20645058,D
50,60.709999,62.709999,60.150002,61.549999,3623400,60.003551,124.26000,12/24/18,TGT,0.006870646,0.006870571,1.40810033,D
